Keyword,EngFren_Bed 1,EngFren_Bed 2,EngFren_Bed 3,EngFren_Bed 4,EngFren_Bed 5,EngFren_Bed 6,EngFren_Bed 7,EngFren_Bed 8,EngFren_Bed 9,EngFren_Bed 10,EngFren_Bed 11,EngFren_Bed 12,EngFren_Bed 13,EngFren_Bed 14,EngFren_Bed 15,EngFren_Bed 16,EngFren_Bed 17,EngFren_Bed 18,EngFren_Bed 19,EngFren_Bed 20,EngFren_Bed 21,EngFren_Bed 22,EngFren_Bed 23,EngFren_Bed 24,EngFren_Bed 25,EngFren_Bed 26,EngFren_Bed 27,EngFren_Bed 28,EngFren_Bed 29,EngFren_Bed 30
homosexuality,sexual behavior [n]: homosexualité [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
homy,place [a]: accueillant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,geography [n]: Honduras [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
honest,character [a]: honnête,behavior [a]: honnête; franc; sincère; loyal; ouvert; droit; pur,,,,,,,,,,,,,,,,,,,,,,,,,,,,
honestly,general [o]: honnêtement,honesty [o]: franchement,,,,,,,,,,,,,,,,,,,,,,,,,,,,
honesty,judgment [n]: honnêteté [f]; équité [f],behavior [n]: honnêteté [f]; franchise [f]; sincérité [f]; spontanéité [f]; franc-parler [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,
honey,term of endearment - man [n]: chéri [m]; chouchou [m]; ange [m]; chou [m]; cœur [m]; mon petit chou [m]; mon ange [m]; mon cœur [m]; mon chéri [m],term of endearment - woman [n]: mon petit chou [m]; mon ange [m]; mon cœur [m]; ma chérie [f],culinary [n]: miel [m],,,,,,,,,,,,,,,,,,,,,,,,,,,
honeybee,entomology [n]: abeille [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
honeybunch,term of endearment - woman [n]: mon petit chou [m]; mon ange [m]; mon cœur [m]; ma chérie [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
honeycomb,apiculture [n]: rayon [m] de miel,anatomy - zoology [n]: second estomac [m]; réticulum [m]; bonnet [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,
honeycomb bag,anatomy - zoology [n]: second estomac [m]; réticulum [m]; bonnet [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
honeydew,general [n]: miellée [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
honor,morality [n]: honneur [m],request [v]: agréer; donner suite favorable à,agreement [v]: honorer,banking [v]: honorer,revere [v]: honorer; révérer,dignify [v]: exalter; honorer; glorifier,,,,,,,,,,,,,,,,,,,,,,,,
honorable,title [a]: honorable,character [a]: d'honneur; droit,behavior [a]: honorable,creditable [a]: honorable; estimable,,,,,,,,,,,,,,,,,,,,,,,,,,
honorable mention,achievement [n]: mention [f] honorable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
honorarium,general [n]: honoraires [mp],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
honorary,general [a]: honoraire,honor [a]: honorifique; honoraire,title [a]: honoris causa; honorifique,,,,,,,,,,,,,,,,,,,,,,,,,,,
honorific,general [a]: honorifique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
honoring,general [a]: commémoratif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hooch,alcoholic beverages [n]: gnôle [f]; gniôle [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hood,automobiles [n]: capote [f],clothing [n]: capuchon [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,
hose,tools [n]: tuyau [m],cleaning [v]: laver à grande eau; laver au jet; arroser; asperger; bassiner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hose down,cleaning [v]: laver à grande eau; laver au jet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hosiery,clothing [n]: bonneterie [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hospice,charity [n]: hospice [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hospitable,behavior [a]: hospitalier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hospital,medicine [n]: hôpital [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hospitality,behavior [n]: hospitalité [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hospitalization,medicine [n]: hospitalisation [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hospitalize,medicine [v]: hospitaliser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
host,biology [n]: hôte [m],man [n]: hôte [m],religion [n]: hostie [f],,,,,,,,,,,,,,,,,,,,,,,,,,,
hostage,man [n]: otage [m],woman [n]: otage [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,
hostel,accommodation [n]: foyer [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hostess,woman [n]: hôtesse [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hostile,general [a]: hostile,behavior [a]: hostile,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hostility,behavior [n]: inimitié [f]; hostilité [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hot,temperature [a]: très chaud,news [a]: tout chaud,argument [a]: controversé; discuté; objet de controverse,food [a]: épicé; piquant,,,,,,,,,,,,,,,,,,,,,,,,,,
hot-air balloon,general [n]: ballon [m]; ballon [m] à air chaud; montgolfière [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hotbed,horticulture [n]: serre [f] chaude,crime [n]: foyer [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,
hot-blooded,feelings [a]: emporté; ardent; exalté; impétueux; passionné,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hotchpotch,disorder [n]: mélange [m] confus; méli-mélo [m],culinary [n]: salmigondis [m]; ragoût [m] de restes de viandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hot dog,culinary [n]: hot-dog [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hotel,accommodation [n]: hôtel [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hotel and catering industry,business company [n]: industrie [f] hôtelière,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hot flash,medicine [n]: bouffées [fp] de chaleur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hot flush,medicine [n]: bouffées [fp] de chaleur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hotfoot,speed [o]: à toute vitesse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hothead,character - man [n]: tête [f] brûlée; tête [f] chaude,character - woman [n]: tête [f] brûlée; tête [f] chaude,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hotheaded person,character - man [n]: tête [f] brûlée; tête [f] chaude,character - woman [n]: tête [f] brûlée; tête [f] chaude,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hothouse,horticulture [n]: serre [f] chaude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hot plate,kitchen utensils [n]: plaque [f] chauffante; chauffe-plat [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hot-tempered,character [a]: colérique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hot water tank,bathroom appliance [n]: chaudière [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hound,dog [n]: chien [m] de meute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hour,period [n]: heure [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hourglass,kitchen utensils [n]: sablier [m],time [n]: sablier [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,
hourly,wages [a]: horaire,time [a]: horaire,,,,,,,,,,,,,,,,,,,,,,,,,,,,
house,building [n]: maison [f],accommodate [v]: héberger; loger; accueillir,,,,,,,,,,,,,,,,,,,,,,,,,,,,
House,Royal Family [n]: Maison [f],politics - Great Britain [n]: Chambre [f],government [n]: Chambre [f] des représentants; Parlement [m],,,,,,,,,,,,,,,,,,,,,,,,,,,
house arrest,law [n]: assignation [f] à domicile; assignation [f] à résidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
houseboat,nautical [n]: péniche [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
housebound,circumstances [a]: bloqué à la maison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
housebreaker,crime - man [n]: cambrioleur [m]; voleur [m],crime - woman [n]: cambrioleuse [f]; voleuse [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,
housebroken,pet [a]: propre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
housecoat,clothing - woman [n]: robe [f] d'intérieur; robe [f] de chambre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
housefly,entomology [n]: mouche [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
houseful,quantity [n]: maison [f] pleine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
household,people [n]: ménage [m]; maison [f]; maisonnée [f]; famille [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
household appliances,household [n]: appareils [mp] ménagers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
householder,person - man [n]: propriétaire [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
household garbage,general [n]: ordures [fp] ménagères,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
household refuse,general [n]: ordures [fp] ménagères,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
household rubbish,general [n]: ordures [fp] ménagères,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
household trash,general [n]: ordures [fp] ménagères,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hysteric,psychiatry [a]: hystérique,behavior [a]: hystérique,psychology - man [n]: hystérique [m],psychology - woman [n]: hystérique [f],,,,,,,,,,,,,,,,,,,,,,,,,,
hysterical,psychiatry [a]: hystérique,behavior [a]: hystérique,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hysterics,psychiatry [n]: crise [f] de nerfs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hovercraft,nautical [n]: aéroglisseur [m]; hovercraft [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
how,interrogative [o]: comment,conjunction [o]: comme,,,,,,,,,,,,,,,,,,,,,,,,,,,,
humerus,anatomy [n]: humérus [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
humidifier,technical [n]: humidificateur [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
humidify,water [v]: humidifier; rendre humide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
humidity,meteorology [n]: humidité [f],dampness [n]: humidité [f]; moiteur [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,
humiliate,abase [v]: humilier; abaisser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
humiliating,feelings [a]: humiliant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
humiliation,feelings [n]: abaissement [m]; humiliation [f]; mortification [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
humility,behavior [n]: humilité [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
humming,bee [n]: bourdonnement [m],song [n]: fredonnement [m],sound [n]: bourdonnement [m],,,,,,,,,,,,,,,,,,,,,,,,,,,
hussy,person - woman [n]: coquine [f (informal)]; friponne [f (informal)]; mâtine [f (informal)],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hustings,politics [n]: campagne [f] électorale; plate-forme [f] électorale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hustle,activity [n]: ruée [f]; bousculade [f],prostitution [v]: faire le trottoir,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hustle and bustle,activity [n]: ruée [f]; bousculade [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hustler,prostitution - woman [n]: prostituée [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hut,general [n]: hutte [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hutch,rabbit [n]: clapier [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hyacinth,botany [n]: hyacinthe [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybrid,animals [a]: hybride,botany [a]: hybride,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hydrangea,botany [n]: hortensia [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hydrant,fire [n]: prise [f] d'eau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hydrate,chemistry [n]: hydrate [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hydraulic,technical [a]: hydraulique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hydraulic engineering,science [n]: ingénierie [f] hydraulique; construction [f] hydraulique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hydraulics,general [n]: hydraulique [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hydrocarbon,chemistry [n]: hydrocarbure [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hydrodynamics,physics [n]: hydrodynamique [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hydroelectric,technical [a]: hydroélectrique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hydrofoil,nautical [n]: hydrofoil [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hydrogen,chemistry [n]: hydrogène [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hummingbird,ornithology [n]: colibri [m]; oiseau-mouche [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
humming top,toys [n]: toupie [f] ronflante,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hummock,geology [n]: petite colline [f]; tertre [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
humor,character [n]: humour [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
humorist,behavior - man [n]: humoriste [m],behavior - woman [n]: humoriste [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,
humorless,character [a]: dépourvu d'humour; dépourvu du sens de l'humour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
humorous,comical [a]: comique; humoristique; plein d'humour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hump,camel [n]: bosse [f],medicine [n]: bosse [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,
humpback,person - man [n]: bossu [m],person - woman [n]: bossue [f],medicine [n]: bosse [f],,,,,,,,,,,,,,,,,,,,,,,,,,,
humpbacked,medicine [a]: bossu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
humph,interjection [o]: hum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
humus,horticulture [n]: humus [m]; terreau [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hunch,idea [n]: pressentiment [m],medicine [n]: bosse [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,
hunchback,person - man [n]: bossu [m],person - woman [n]: bossue [f],medicine [n]: bosse [f],,,,,,,,,,,,,,,,,,,,,,,,,,,
hunchbacked,medicine [a]: bossu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hundred,cardinal number [a]: cent,cardinal number [n]: cent [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,
hundred square meters,measures - weights [n]: cent mètres [mp] carrés; are [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hundredth,ordinal number [a]: centième,ordinal number [n]: centième [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,
hundred thousand,cardinal number [a]: cent mille,cardinal number [n]: cent mille [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungarian,general [a]: hongrois; magyar,language [n]: hongrois [m]; magyar [m],ethnology - man [n]: Hongrois [m],ethnology - woman [n]: Hongroise [f],,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,geography [n]: Hongrie [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hunger,physical sensation [n]: faim [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hunger strike,protest [n]: grève [f] de la faim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hungry,physical sensation [a]: affamé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hunk,bread [n]: morceau [m],man [n]: beau type [m (informal)]; beau mec [m (slang)],,,,,,,,,,,,,,,,,,,,,,,,,,,,
hunt,sports - hunting [n]: chasse [f],sports [n]: chasse [f],person [n]: chasse [f],sports - hunting [v]: chasser,prisoner [v]: poursuivre; être à la recherche de,animals [v]: chasser,,,,,,,,,,,,,,,,,,,,,,,,
hunt down,criminal [v]: poursuivre; pourchasser; chasser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hunter,hunting - man [n]: chasseur [m],hunting - woman [n]: chasseuse [f]; chasseresse [f],horse [n]: cheval [m] de chasse; hunter [m],,,,,,,,,,,,,,,,,,,,,,,,,,,
hunt for,objects [v]: chercher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hunting,sports [n]: chasse [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hunting dog,dog [n]: chien [m] de meute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hunting with beagles,hunting [n]: chasse [f] au briquet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hunting with hounds,hunting [n]: chasse [f] à courre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hunt out,find [v]: dénicher; arriver à retrouver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
huntress,hunting - woman [n]: chasseuse [f]; chasseresse [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hurdle,sports [n]: haie [f],sports [v]: faire de la course de haies,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hurdy-gurdy,music - instruments [n]: orgue [m] de Barbarie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hurl,voice [v]: hurler,objects [v]: jeter; catapulter; lancer; précipiter,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hurly-burly,general [n]: charivari [m]; tumulte [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hurrah,exclamation [o]: hourra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hurricane,meteorology [n]: ouragan [m]; hurricane [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hurried,general [a]: agité,departure [a]: précipité,cursory [a]: rapide; superficiel; fait à la hâte,,,,,,,,,,,,,,,,,,,,,,,,,,,
hurried kiss,love [n]: bise [f (informal)]; bécot [m (informal)]; baiser [m] rapide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hurtful,behavior [a]: garce; vache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hurtle,noise [v]: passer avec fracas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hurt oneself,physically [v]: se blesser; se faire du mal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
husband,general [n]: mari [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
husbandry,general [n]: agronomie [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hush,sound [n]: silence [m]; calme [m],baby [v]: faire taire,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hush-hush,secret [a]: secret; très confidentiel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hush money,secret [n]: prix [m] du silence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hush up,facts [v]: cacher; voiler; masquer; dissimuler,matter [v]: étouffer,truth [v]: taire; cacher,,,,,,,,,,,,,,,,,,,,,,,,,,,
husk,corn [n]: enveloppe [f],botany [n]: balle [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,
huskiness,voice [n]: enrouement [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
husky,voice [a]: rauque,body [a]: charnu; musclé; costaud; solidement bâti; robuste; de forte carrure,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hussar,military [n]: hussard [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hydrogen peroxide,chemistry [n]: eau [f] oxygénée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hydroponics,science [n]: culture [f] hydroponique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hydrostatics,physics [n]: hydrostatique [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hydrotherapy,medicine [n]: hydrothérapie [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hydroxide,chemistry [n]: hydroxyde [m]; hydrate [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hyena,zoology [n]: hyène [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hygiene,general [n]: hygiène [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hygienic,general [a]: hygiénique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hymen,medicine [n]: hymen [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hymn,religion [n]: hymne [m]; cantique [m]; psaume [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hymnal,religion [n]: livre [m] de cantiques,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hymnary,religion [n]: livre [m] de cantiques,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hymnbook,religion [n]: livre [m] de cantiques,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hyperactive,person [a]: hyperactif; suractif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hyperbola,mathematics [n]: hyperbole [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hyperbole,linguistics [n]: hyperbole [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hyperbolic,mathematics [a]: hyperbolique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hypercritical,behavior [a]: hypercritique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hyperglycaemia,medicine [n]: hyperglycémie [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hyperglycemia,medicine [n]: hyperglycémie [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hypersensitive,behavior [a]: hypersensible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hypertension,medicine [n]: hypertension [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hyperventilate,medicine [v]: faire de l'hyperventilation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hyperventilation,medicine [n]: hyperventilation [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hyphen,punctuation [n]: trait [m] d'union,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hyphenate,linguistics [v]: mettre un trait d'union,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hypnosis,medicine [n]: hypnose [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hypnotism,medicine [n]: hypnotisme [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hypnotist,general [n]: hypnotiseur [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hypnotize,general [v]: hypnotiser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hypochondria,medicine [n]: hypocondrie [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hypochondriac,medicine [a]: hypocondriaque,psychiatry - man [n]: hypocondriaque [m],psychiatry - woman [n]: hypocondriaque [f],,,,,,,,,,,,,,,,,,,,,,,,,,,
hypochondriacal,medicine [a]: hypocondriaque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hypocrisy,behavior [n]: hypocrisie [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hypocrite,character - man [n]: hypocrite [m],character - woman [n]: hypocrite [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,
hypocritical,dishonesty [a]: malhonnête; hypocrite; sournois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hypodermic,medicine [a]: hypodermique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hypodermic needle,medicine [n]: aiguille [f] hypodermique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hypoglycaemia,medicine [n]: hypoglycémie [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hypoglycemia,medicine [n]: hypoglycémie [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hypotenuse,mathematics [n]: hypoténuse [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hypothesis,general [n]: hypothèse [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high-mindedness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
